Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,10.080000,10.300000,9.580000,9.750000,9.750000,0
2017-06-05,10.080000,10.280000,9.600000,10.070000,10.070000,0
2017-06-06,10.190000,10.770000,9.860000,10.450000,10.450000,0
2017-06-07,10.480000,10.930000,10.120000,10.390000,10.390000,0
2017-06-08,10.270000,10.530000,9.730000,10.160000,10.160000,0
2017-06-09,9.930000,12.110000,9.370000,10.700000,10.700000,0
2017-06-12,11.190000,12.370000,11.190000,11.460000,11.460000,0
2017-06-13,11.120000,11.140000,10.260000,10.420000,10.420000,0
2017-06-14,10.330000,11.260000,10.010000,10.640000,10.640000,0
2017-06-15,11.060000,12.010000,10.740000,10.900000,10.900000,0
2017-06-16,10.630000,11.350000,10.260000,10.380000,10.380000,0
2017-06-19,10.570000,10.600000,10.010000,10.370000,10.370000,0
2017-06-20,10.280000,11.150000,10.240000,10.860000,10.860000,0
2017-06-21,11.030000,11.400000,10.400000,10.750000,10.750000,0
2017-06-22,10.810000,11.010000,10.240000,10.480000,10.480000,0
2017-06-23,10.250000,10.690000,9.850000,10.020000,10.020000,0
2017-06-26,10.130000,10.440000,9.680000,9.900000,9.900000,0
2017-06-27,10.040000,11.310000,9.800000,11.060000,11.060000,0
2017-06-28,11.170000,11.490000,9.760000,10.030000,10.030000,0
2017-06-29,9.790000,15.160000,9.730000,11.440000,11.440000,0
2017-06-30,11.740000,11.850000,10.400000,11.180000,11.180000,0
